,지역,지역구,카페명,주소,위도,경도,파일명
130,남서울,동작,아뜨레케이크,서울 동작구 여의대방로22길 138,37.4982582,126.9275997,ss_dj_01.png
131,남서울,동작,브레드숨,서울 동작구 노량진로18길 37,37.512324299999996,126.95178670000001,ss_dj_02.png
132,남서울,동작,오후홍콩,서울 동작구 흑석로13가길 29,37.5078464,126.96007549999999,ss_dj_03.png
133,남서울,동작,베로니카아서울,서울 동작구 시흥대로 596,37.485621,126.904518,ss_dj_04.png
134,남서울,동작,카페퍼블리코,서울 동작구 상도로 47,37.4999026,126.92582209999999,ss_dj_05.png
135,남서울,동작,벨르보,서울 동작구 상도로33길 11,37.5058885,126.9448439,ss_dj_06.png
136,남서울,동작,세녹,서울 동작구 사당로 304,37.484882,126.98133590000002,ss_dj_07.png
137,남서울,동작,사랑해 바보 똥개,서울 동작구 만양로 112,37.5132965,126.9443935,ss_dj_08.png
138,남서울,동작,페니커피로스터스,서울 동작구 동작대로1길 36,37.4773461,126.97941110000001,ss_dj_09.png
139,남서울,동작,오다가다,서울 동작구 동작대로35길 10,37.490931200000006,126.98180900000001,ss_dj_10.png
140,남서울,동작,밍구네다방,서울 동작구 노량진로 132,37.5133065,126.9405871,ss_dj_11.png
141,남서울,동작,달콤쌉싸롱,서울 동작구 노량진로12길 12-4,37.5133706,126.9439197,ss_dj_12.png
142,남서울,동작,프랑세즈,서울 동작구 현충로 96,37.507901200000006,126.964262,ss_dj_13.png
143,남서울,관악,쟝블랑제리,서울 관악구 낙성대역길 8,37.4771481,126.96195279999999,ss_ga_01.png
144,남서울,관악,오후의 과일,서울 관악구 관악로14길 15,37.479181700000005,126.95347659999999,ss_ga_02.png
145,남서울,관악,egg thumb,서울 관악구 관악로14길 98,37.4777646,126.9577847,ss_ga_03.png
146,남서울,관악,아모르미오,서울 관악구 행운2길 20,37.4790531,126.9600258,ss_ga_04.png
147,남서울,관악,미드레벨,서울 관악구 관악로14길 63,37.4785582,126.95602240000002,ss_ga_05.png
148,남서울,관악,RIVER BELL,서울 관악구 봉천로 524,37.4790891,126.9559404,ss_ga_06.png
149,남서울,관악,황홀경,서울 관악구 관악로14길 37,37.478906,126.9545918,ss_ga_07.png
150,남서울,관악,더은교,서울 관악구 봉천로 600-1,37.4760044,126.96377530000001,ss_ga_08.png
151,남서울,관악,그날의 브런치,서울 관악구 남부순환로230길 48,37.4779581,126.95520309999999,ss_ga_09.png
152,남서울,관악,서울테이블,서울 관악구 관악로14길 2,37.478826899999994,126.9539044,ss_ga_10.png
153,남서울,관악,메이드바이아린,서울 관악구 관악로12길 47,37.477798299999996,126.95507079999999,ss_ga_11.png
154,남서울,관악,포말커피,서울 관악구 신림로67길 25,37.48575220000001,126.9278553,ss_ga_12.png
155,남서울,관악,티라노커피,서울 관악구 남부순환로230길 39,37.4782967,126.9555862,ss_ga_13.png
156,남서울,금천,재미길,서울 금천구 시흥대로50길 12-13,37.4507671,126.9030916,ss_gc_01.png
157,남서울,금천,모나드 커피로스터스,서울 금천구 금하로24길 5,37.450717700000006,126.90875679999999,ss_gc_02.png
158,남서울,금천,디오델 커피,서울 금천구 벚꽃로 30,37.4588664,126.893955,ss_gc_03.png
159,남서울,금천,로드앤커피 2.5,서울 금천구 시흥대로 202,37.45192410000001,126.90213429999999,ss_gc_04.png
160,남서울,금천,커피이즈,서울 금천구 은행나무로 50,37.4511435,126.90323640000001,ss_gc_05.png
161,남서울,금천,카페 트리니티,서울 금천구 가산디지털2로 108,37.4777658,126.8804909,ss_gc_06.png
162,남서울,금천,스미다,서울 금천구 벚꽃로 298,37.4813244,126.88377890000001,ss_gc_07.png
163,남서울,금천,빌리엔젤,서울 금천구 디지털로9길 23,37.4786713,126.88649679999999,ss_gc_08.png
164,남서울,금천,비틀주스,서울 금천구 디지털로9길 99,37.481607399999994,126.88483070000001,ss_gc_09.png
165,남서울,금천,카페자리,서울 금천구 독산로77길 39,37.4700717,126.90034729999999,ss_gc_10.png
166,남서울,금천,판데오로,서울 금천구 가산디지털1로 186,37.4817399,126.8817895,ss_gc_11.png
167,남서울,금천,손수다,서울 금천구 두산로 70,37.469823999999996,126.89589,ss_gc_12.png
168,남서울,금천,제이제이서브,서울 금천구 가산디지털1로 131,37.4769739,126.88231280000001,ss_gc_13.png
169,강남,서초,카페마마스,서울 서초구 서운로 138,37.4959396,127.02522590000001,gn_sc_01.png
170,강남,서초,더플라잉팬레드,서울 서초구 서초대로 411,37.497780299999995,127.02619270000001,gn_sc_02.png
171,강남,서초,쿠오레에스프레소,서울 서초구 강남대로 275,37.4878685,127.0319729,gn_sc_03.png
172,강남,서초,버터핑거팬케익,서울 서초구 강남대로61길 13,37.4988517,127.0255375,gn_sc_04.png
173,강남,서초,프릳츠 양재점,서울 서초구 강남대로37길 24-11,37.485331099999996,127.03218319999999,gn_sc_05.png
174,강남,서초,캐틀앤비,서울 서초구 양재천로 131,37.4787848,127.04189380000001,gn_sc_06.png
175,강남,서초,MAILLET,서울 서초구 사평대로22길 14,37.4989206,126.99758899999999,gn_sc_07.png
176,강남,서초,밀크바,서울 서초구 사평대로 205,37.504425299999994,127.0077601,gn_sc_08.png
177,강남,서초,하프커피,서울 서초구 사평대로 205,37.504425299999994,127.0077601,gn_sc_09.png
178,강남,서초,태양커피,서울 서초구 서초대로25길 55,37.4901785,126.992805,gn_sc_10.png
179,강남,서초,메종엠오,서울 서초구 방배로26길 22,37.489276600000004,126.9940824,gn_sc_11.png
180,강남,서초,루엘드파리,서울 서초구 서초중앙로 18,37.4840138,127.0173415,gn_sc_12.png
181,강남,서초,카페 릴리블랑,서울 서초구 양재천로19길 52,37.4776036,127.03813829999999,gn_sc_13.png
182,강남,강남,알베르,서울 강남구 강남대로102길 34,37.5030004,127.0280905,gn_gn_01.png
183,강남,강남,C27 가로수길점,서울 강남구 도산대로15길 39,37.5206956,127.0232308,gn_gn_02.png
184,강남,강남,더달달,서울 강남구 강남대로102길 38-6,37.5031401,127.02842120000001,gn_gn_03.png
185,강남,강남,브라더후드키친,서울 강남구 봉은사로4길 22,37.503334,127.02636709999999,gn_gn_04.png
186,강남,강남,에이블,서울 강남구 압구정로14길 12,37.5234764,127.02303390000002,gn_gn_05.png
187,강남,강남,샤이바나,서울 강남구 영동대로 513,37.5101935,127.0585824,gn_gn_06.png
188,강남,강남,알베르,서울 강남구 강남대로102길 34,37.5030004,127.0280905,gn_gn_07.png
189,강남,강남,수수커피,서울 강남구 강남대로84길 15,37.4970032,127.0298757,gn_gn_08.png
190,강남,강남,오아시스,서울 강남구 도산대로55길 20,37.5247377,127.04059029999999,gn_gn_09.png
191,강남,강남,트리아농,서울 강남구 학동로59길 43,37.5202844,127.0445558,gn_gn_10.png
192,강남,강남,미엘,서울 강남구 도산대로67길 13-12,37.5252864,127.0435926,gn_gn_11.png
193,강남,강남,듀자미,서울 강남구 도산대로11길 28,37.5193063,127.0225815,gn_gn_12.png
194,강남,강남,카페뮬라,서울 강남구 압구정로4길 13-12,37.521923,127.0212939,gn_gn_13.png
195,강북,도봉,PUKUPUKU,서울 도봉구 도당로13다길 19,37.6657761,127.0334324,gb_db_01.png
196,강북,도봉,카페오븐,서울 도봉구 해등로16길 12,37.6558439,127.0406987,gb_db_02.png
197,강북,도봉,쌍문동커피,서울 도봉구 도봉로116길 5,37.648175,127.035698,gb_db_03.png
198,강북,도봉,뮤즈서울,서울 도봉구 도봉로110다길 51,37.6428627,127.03339960000001,gb_db_04.png
199,강북,도봉,알레싸카페,서울 도봉구 도봉로150다길 28,37.66776420000001,127.044555,gb_db_05.png
200,강북,도봉,카페더로비,서울 도봉구 방학로 171-5,37.661987599999996,127.0332537,gb_db_06.png
201,강북,도봉,일월생,서울 도봉구 해등로 180,37.6577361,127.03683799999999,gb_db_07.png
202,강북,도봉,카페방학,서울 도봉구 도당로6길 30-6,37.6613592,127.03651809999998,gb_db_08.png
203,강북,도봉,와겐커피,서울 도봉구 도봉로150마길 15,37.6676879,127.04491709999999,gb_db_09.png
204,강북,도봉,김화자 카페,서울 도봉구 도봉로114길 50,37.6474757,127.0371179,gb_db_10.png
205,강북,도봉,여전히달달해,서울 도봉구 해등로 120-4,37.6541795,127.0412267,gb_db_11.png
206,강북,도봉,카페작약,서울 도봉구 도봉로118길 10,37.648923499999995,127.03566000000001,gb_db_12.png
207,강북,도봉,카페152길,서울 도봉구 도봉로152길 29-3,37.6695709,127.0454518,gb_db_13.png
208,강북,강북,미즐,서울 강북구 수유동 535-11,37.6435127,127.0037736,gb_gb_01.png
209,강북,강북,칠복상회 로스팅 공간,서울 강북구 한천로132길 7,37.639405700000005,127.02849520000001,gb_gb_02.png
210,강북,강북,어니언,서울 강북구 솔매로50길 55,37.6241045,127.0284021,gb_gb_03.png
211,강북,강북,로팸,서울 강북구 4.19로 61-1,37.639609899999996,127.0256575,gb_gb_04.png
212,강북,강북,스펙트럼커피랩,서울 강북구 도봉로97길 39,37.6424777,127.0273425,gb_gb_05.png
213,강북,강북,카페수카페,서울 강북구 도봉로 52,37.6136586,127.03044320000001,gb_gb_06.png
214,강북,강북,경계선,서울 강북구 삼각산로 22-7,37.6384562,127.0070885,gb_gb_07.png
215,강북,강북,커피베스코,서울 강북구 도봉로 342,37.6380167,127.02613500000001,gb_gb_08.png
216,강북,강북,키쉬미뇽,서울 강북구 도봉로10길 12,37.613086200000005,127.03074850000002,gb_gb_09.png
217,강북,강북,노르웨이안 우드,서울 강북구 인수봉로 314,37.64672,127.01069070000001,gb_gb_10.png
218,강북,강북,베네피션트,서울 강북구 노해로 13,37.6393245,127.01965919999999,gb_gb_11.png
219,강북,강북,전광수커피하우스,서울 강북구 4.19로 97,37.64417329999999,127.0045193,gb_gb_12.png
220,강북,강북,하프,서울 강북구 도봉로89길 5-12,37.6386582,127.0254797,gb_gb_13.png
221,강북,성북,카페오월,서울 성북구 동소문로 111,37.593362899999995,127.0172733,gb_sb_01.png
222,강북,성북,휘스커,서울 성북구 성북로7길 21,37.58938320000001,127.00375729999999,gb_sb_02.png
223,강북,성북,커피매터스,서울 성북구 동소문로10길 19-1,37.5897388,127.0114409,gb_sb_03.png
224,강북,성북,프로젝트얼스,서울 성북구 성북로15길 21,37.5926969,126.99977709999999,gb_sb_04.png
225,강북,성북,제뉴어리피크닉,서울 성북구 창경궁로43길 26,37.5891035,127.0041324,gb_sb_05.png
226,강북,성북,수연산방차,서울 성북구 성북로26길 8,37.5950128,126.99482590000001,gb_sb_06.png
227,강북,성북,레인드롭카페,서울 성북구 동소문로22길 57-12,37.590612899999996,127.019222,gb_sb_07.png
228,강북,성북,더홈서울카페,서울 성북구 인촌로1길 87,37.5887865,127.01738219999999,gb_sb_08.png
229,강북,성북,알렉스더커피 성북점,서울 성북구 성북로28길 9,37.5950592,126.99349579999999,gb_sb_09.png
230,강북,성북,조셉의 커피나무,서울 성북구 성북로31길 65,37.5945577,126.9885926,gb_sb_10.png
231,강북,성북,숑디 인 오하라,서울 성북구 보문로30길 80,37.591041,127.02010859999999,gb_sb_11.png
232,강북,성북,cafe b,서울 성북구 보문로30길 71,37.5905704,127.0195283,gb_sb_12.png
233,강북,성북,미미상회,서울 성북구 동소문로22길 57-17,37.5907865,127.01929779999999,gb_sb_13.png
234,강북,노원,아고라커피,서울 노원구 동일로193길 14,37.6260239,127.07173049999999,gb_nw_01.png
235,강북,노원,토프레소 상계역점,서울 노원구 덕릉로83길 14-3,37.66014860000001,127.0745994,gb_nw_02.png
236,강북,노원,비스킷플로어,서울 노원구 동일로180길 61-7,37.623206200000006,127.0775679,gb_nw_03.png
237,강북,노원,플랫커피,서울 노원구 공릉로39길 20,37.6238012,127.07830249999999,gb_nw_04.png
238,강북,노원,ddami coffee,서울 노원구 공릉로 120,37.6206095,127.07850959999999,gb_nw_05.png
239,강북,노원,표준커피,서울 노원구 공릉로 119-5,37.6210059,127.0781524,gb_nw_06.png
