,지역,지역구,카페명,주소,위도,경도,파일명,1번 색,2번 색,3번 색,4번 색,5번 색
51,서남,강서,어느예쁜날,서울 강서구 화곡로26가길 18,37.5408966,126.8395116,sw_gs_13.png,765444,573928,947c67,b8b0ab,ece8e1
52,서남,양천,커피별녹색잔,서울 양천구 목동로21길 26,37.52523729999999,126.8608357,sw_yc_01.png,926d38,dfcfb0,593918,a69678,c89f3a
53,서남,양천,C27 현대백화점목동점,서울 양천구 목동동로 257,37.5268253,126.87497820000002,sw_yc_02.png,694839,947e66,281f15,c0b7ac,f0f4f3
54,서남,양천,에프스토리,서울 양천구 목동동로 226-19,37.5255045,126.8730929,sw_yc_03.png,f9edd5,e5cdaa,a37b4f,ccac7a,604429
55,서남,양천,cafe qooom,서울 양천구 목동로23길 1,37.5270576,126.863289,sw_yc_04.png,f0e4cf,37291f,b6743e,d1aa73,7d4127
56,서남,양천,카페 제하,서울 양천구 목동동로 177,37.52158220000001,126.8704402,sw_yc_05.png,574f49,7c7875,b1aaa6,27241f,e3e3da
57,서남,양천,이기스카페 목동점,서울 양천구 목동동로 293,37.5281527,126.8757457,sw_yc_06.png,c2c0bb,1a1818,535350,898682,e9eaea
58,서남,양천,르플로르,서울 양천구 목동동로 222-13,37.525279,126.8727908,sw_yc_07.png,5d4131,82715f,2e1f16,aea18f,d9dfda
59,서남,양천,엘가커피 목동점,서울 양천구 신정중앙로 107,37.526399100000006,126.86367690000002,sw_yc_08.png,171312,4d392a,87745c,b1542a,c8b79a
60,서남,양천,알리커피,서울 양천구 중앙로32길 45,37.519602,126.85875729999998,sw_yc_09.png,bfae9b,705238,9f8060,ece0c6,322719
61,서남,양천,테디랩,서울 양천구 신월로36길 11,37.520665,126.8585533,sw_yc_10.png,bbbdba,a6998c,796258,e9e4d8,35281d
62,서남,양천,퍼블릭맨션,서울 양천구 등촌로 154,37.54349910000001,126.8625778,sw_yc_11.png,9c978f,5e6e74,28282a,624941,dccbb1
63,서남,양천,카페쿤츠,서울 양천구 오목로 170,37.5248058,126.8561824,sw_yc_12.png,58513b,8e7e5f,21251c,c3b090,ece4cd
64,서남,양천,커피그레이드,서울 양천구 중앙로51길 71,37.5234824,126.8426124,sw_yc_13.png,141311,a49e9d,605957,393737,d8d2cc
65,서남,영등포,세상의모든아침,서울 영등포구 여의대로 24,37.522317,126.9201153,sw_ydp_01.png,b1aeac,8a857e,59544d,211d19,e3e4e2
66,서남,영등포,오월의종 타임스퀘어점,서울 영등포구 영중로 15,37.517007,126.9041419,sw_ydp_02.png,341b16,70472d,ae6a32,c1a686,f2f2ed
67,서남,영등포,올드문래,서울 영등포구 도림로 433-6,37.5138911,126.8942605,sw_ydp_03.png,271f15,4e3e2b,7e674a,bb9e6e,e7e5bc
68,서남,영등포,선유기지,서울 영등포구 선유로51길 1,37.536435,126.8976356,sw_ydp_04.png,7b5c15,897747,423e14,bd9a59,d1c6ae
